"","species","fishing_year","wt_port_price"
"462","Hapuku and Bass",2015,4.381875
"463","Hapuku and Bass",2016,4.8734375
"464","Hapuku and Bass",2017,4.8625
"465","Hapuku and Bass",2018,4.698652371
"466","Hapuku and Bass",2019,4.715195222
"467","Hapuku and Bass",2020,5.067554622
"468","Hapuku and Bass",2021,5.672890038
"469","Hapuku and Bass",2022,4.186669946
"470","Hoki",2008,0.15
"471","Hoki",2009,0.6
"472","Hoki",2010,0.655
"473","Hoki",2011,0.8175
"474","Hoki",2012,0.8075
"475","Hoki",2013,0.8
"476","Hoki",2014,0.8
"477","Hoki",2015,0.7825
"478","Hoki",2016,0.7275
"479","Hoki",2017,0.72375
"480","Hoki",2018,0.734550483
"481","Hoki",2019,0.729184735
"482","Hoki",2020,0.718455664
"483","Hoki",2021,0.724524392
"484","Hoki",2022,0.548120938
"485","Horse mussel",2008,0.025
"486","Horse mussel",2009,0.1
"487","Horse mussel",2010,0.105
"488","Horse mussel",2011,0.12
"489","Horse mussel",2012,0.12
"490","Horse mussel",2013,0.12
"491","Horse mussel",2014,0.12
"492","Horse mussel",2015,0.12
"493","Horse mussel",2016,0.12
"494","Horse mussel",2017,0.12
"495","Horse mussel",2018,0.12
"496","Horse mussel",2019,0.12
"497","Horse mussel",2020,0.12
"498","Horse mussel",2021,0.12
"499","Horse mussel",2022,0.09
"500","Jack Mackerel",2008,0.04625
"501","Jack Mackerel",2009,0.185
"502","Jack Mackerel",2010,0.240625
"503","Jack Mackerel",2011,0.405625
"504","Jack Mackerel",2012,0.4
"505","Jack Mackerel",2013,0.401875
"506","Jack Mackerel",2014,0.4075
"507","Jack Mackerel",2015,0.37875
"508","Jack Mackerel",2016,0.291875
"509","Jack Mackerel",2017,0.290625
"510","Jack Mackerel",2018,0.293014859
"511","Jack Mackerel",2019,0.292479469
"512","Jack Mackerel",2020,0.28308501
"513","Jack Mackerel",2021,0.26882785
"514","Jack Mackerel",2022,0.190835542
"515","John Dory",2008,1.4725
"516","John Dory",2009,5.89
"517","John Dory",2010,5.9665
"518","John Dory",2011,6.116
"519","John Dory",2012,5.8645
"520","John Dory",2013,5.915
"521","John Dory",2014,6.153
"522","John Dory",2015,6.1145
"523","John Dory",2016,6.1705
"524","John Dory",2017,6.1835
"525","John Dory",2018,6.055597844
"526","John Dory",2019,6.132494012
"527","John Dory",2020,6.309344299
"528","John Dory",2021,6.222891654
"529","John Dory",2022,4.860489257
"530","Kahawai",2008,0.075833333
"531","Kahawai",2009,0.303333333
"532","Kahawai",2010,0.373333333
"533","Kahawai",2011,0.602916667
"534","Kahawai",2012,0.659583333
"535","Kahawai",2013,0.65875
"536","Kahawai",2014,0.675
"537","Kahawai",2015,0.644166667
"538","Kahawai",2016,0.541666667
"539","Kahawai",2017,0.496666667
"540","Kahawai",2018,0.455937752
"541","Kahawai",2019,0.502096311
"542","Kahawai",2020,0.709352492
"543","Kahawai",2021,1.01744374
"544","Kahawai",2022,0.732551252
"545","Kina",2008,0.313541667
"546","Kina",2009,1.254166667
"547","Kina",2010,1.38
"548","Kina",2011,1.771458333
"549","Kina",2012,1.810416667
"550","Kina",2013,1.801666667
"551","Kina",2014,1.77625
"552","Kina",2015,1.709166667
"553","Kina",2016,1.717083333
"554","Kina",2017,1.658333333
"555","Kina",2018,1.705888978
"556","Kina",2019,1.848555912
"557","Kina",2020,1.789367381
"558","Kina",2021,2.075751307
"559","Kina",2022,2.600699902
"560","King Clam",2008,5
"561","King Clam",2009,20
"562","King Clam",2010,21.0325
"563","King Clam",2011,24.15
"564","King Clam",2012,24.1625
"565","King Clam",2013,24.02
"566","King Clam",2014,24.02
"567","King Clam",2015,24.02
"568","King Clam",2016,24.02
"569","King Clam",2017,24.02
"570","King Clam",2018,24.02
"571","King Clam",2019,23.866875966
"572","King Clam",2020,23.407503866
"573","King Clam",2021,23.407503866
"574","King Clam",2022,17.5556279
"575","King crab",2008,0.75
"576","King crab",2009,3
"577","King crab",2010,3.155
"578","King crab",2011,3.6225
"579","King crab",2012,3.6225
"580","King crab",2013,3.6
"581","King crab",2014,2.75
"582","King crab",2015,0.2
"583","King crab",2016,0.2
"584","King crab",2017,0.2
"585","King crab",2018,0.2
"586","King crab",2019,0.2
"587","King crab",2020,0.2
"588","King crab",2021,0.1965
"589","King crab",2022,0.1395
"590","Kingfish",2008,1.288571429
"591","Kingfish",2009,5.154285715
"592","Kingfish",2010,5.138214286
"593","Kingfish",2011,4.971428571
"594","Kingfish",2012,4.606428571
"595","Kingfish",2013,4.485714285
"596","Kingfish",2014,4.251428572
"597","Kingfish",2015,4.4575
"598","Kingfish",2016,4.650357143
"599","Kingfish",2017,4.239642857
"600","Kingfish",2018,3.210277055
"601","Kingfish",2019,3.285703255
"602","Kingfish",2020,3.919405244
"603","Kingfish",2021,4.179554097
"604","Kingfish",2022,3.296275755
"605","Knobbed Whelk",2008,0.15
"606","Knobbed Whelk",2009,0.6
"607","Knobbed Whelk",2010,0.63
"608","Knobbed Whelk",2011,0.72
"609","Knobbed Whelk",2012,0.7175
"610","Knobbed Whelk",2013,0.71
"611","Knobbed Whelk",2014,0.71
"612","Knobbed Whelk",2015,0.71
"613","Knobbed Whelk",2016,0.71
"614","Knobbed Whelk",2017,0.71
"615","Knobbed Whelk",2018,0.71
"616","Knobbed Whelk",2019,0.71
"617","Knobbed Whelk",2020,0.71
"618","Knobbed Whelk",2021,0.71
"619","Knobbed Whelk",2022,0.5325
"620","Leather Jacket",2008,0.13
"621","Leather Jacket",2009,0.52
"622","Leather Jacket",2010,0.571
"623","Leather Jacket",2011,0.7205
"624","Leather Jacket",2012,0.708
"625","Leather Jacket",2013,0.702
"626","Leather Jacket",2014,0.704
"627","Leather Jacket",2015,0.721
"628","Leather Jacket",2016,0.744
"629","Leather Jacket",2017,0.716
"630","Leather Jacket",2018,0.724488679
"631","Leather Jacket",2019,0.734289255
"632","Leather Jacket",2020,0.737680238
"633","Leather Jacket",2021,0.73196469
"634","Leather Jacket",2022,0.56049879
"635","Ling",2008,0.7415625
"636","Ling",2009,2.96625
"637","Ling",2010,2.88375
"638","Ling",2011,2.6296875
"639","Ling",2012,2.605
"640","Ling",2013,2.604375
"641","Ling",2014,2.6959375
"642","Ling",2015,2.786875
"643","Ling",2016,2.6778125
"644","Ling",2017,2.79875
"645","Ling",2018,2.707720965
"646","Ling",2019,2.762298418
"647","Ling",2020,2.689580741
"648","Ling",2021,2.876332713
"649","Ling",2022,2.185680629
"650","Long finned eel",2008,0.875
"651","Long finned eel",2009,3.5
"652","Long finned eel",2010,3.625
"653","Long finned eel",2011,4.085
"654","Long finned eel",2012,4.3325
"655","Long finned eel",2013,4.31
"656","Long finned eel",2014,4.31
"657","Long finned eel",2015,4.31
"658","Long finned eel",2016,4.31
"659","Long finned eel",2017,4.34875
"660","Long finned eel",2018,4.437810374
"661","Long finned eel",2019,4.358553572
"662","Long finned eel",2020,4.365489796
"663","Long finned eel",2021,4.365489796
"664","Long finned eel",2022,3.274117347
"665","Longfinned eel",2008,0.97
"666","Longfinned eel",2009,3.88
"667","Longfinned eel",2010,4.091
"668","Longfinned eel",2011,4.7495
"669","Longfinned eel",2012,4.8595
"670","Longfinned eel",2013,4.96
"671","Longfinned eel",2014,4.936
"672","Longfinned eel",2015,4.775
"673","Longfinned eel",2016,4.508
"674","Longfinned eel",2017,4.149
"675","Longfinned eel",2018,3.072200625
"676","Longfinned eel",2019,3.400224453
"677","Longfinned eel",2020,4.404317718
"678","Longfinned eel",2021,4.469799928
