"","fishing_period","species_code","tacc_kg","catch_kg","starting_year"
"157","for 12 months to 30-09-2017","SWA",2595050.25,NA,2016
"158","for 12 months to 30-09-2017","SWO",885000,500513,2016
"159","for 12 months to 30-09-2017","TAR",804896.625,NA,2016
"160","for 12 months to 30-09-2017","TOR",116000,14407,2016
"161","for 12 months to 30-09-2017","TRE",786620.6,707635.8,2016
"162","for 12 months to 30-09-2017","TRU",14400,NA,2016
"163","for 12 months to 30-09-2017","TUA",4777.77777777778,NA,2016
"164","for 12 months to 30-09-2017","WAR",752059.666666667,NA,2016
"165","for 12 months to 30-09-2017","WWA",415000,NA,2016
"166","for 12 months to 30-09-2017","YEM",6800,NA,2016
"167","for 12 months to 30-09-2017","YFN",263000,7553,2016
"168","for 12 months to 30-09-2018","ANC",80000,NA,2017
"169","for 12 months to 30-09-2018","BAR",6680492.2,NA,2017
"170","for 12 months to 30-09-2018","BCO",291453.125,NA,2017
"171","for 12 months to 30-09-2018","BIG",714000,136684,2017
"172","for 12 months to 30-09-2018","BNS",105000,NA,2017
"173","for 12 months to 30-09-2018","BUT",20250,NA,2017
"174","for 12 months to 30-09-2018","BWS",1860000,120492,2017
"175","for 12 months to 30-09-2018","BYX",499283.333333333,NA,2017
"176","for 12 months to 30-09-2018","CDL",196800,NA,2017
"177","for 12 months to 30-09-2018","COC",247230.769230769,NA,2017
"178","for 12 months to 30-09-2018","ELE",218916.666666667,NA,2017
"179","for 12 months to 30-09-2018","EMA",2310000,NA,2017
"180","for 12 months to 30-09-2018","FLA",1083760,NA,2017
"181","for 12 months to 30-09-2018","FRO",401900,NA,2017
"182","for 12 months to 30-09-2018","GAR",7142.85714285714,NA,2017
"183","for 12 months to 30-09-2018","GLM",215000,NA,2017
"184","for 12 months to 30-09-2018","GMU",201120.2,NA,2017
"185","for 12 months to 30-09-2018","GSH",304700,NA,2017
"186","for 12 months to 30-09-2018","GSP",593333.333333333,343001.333333333,2017
"187","for 12 months to 30-09-2018","GUR",960197.833333333,NA,2017
"188","for 12 months to 30-09-2018","HAK",2643785.75,NA,2017
"189","for 12 months to 30-09-2018","HOK",75005000,NA,2017
"190","for 12 months to 30-09-2018","HPB",272700,NA,2017
"191","for 12 months to 30-09-2018","JDO",241080,NA,2017
"192","for 12 months to 30-09-2018","JMA",12831803.5,NA,2017
"193","for 12 months to 30-09-2018","KAH",454666.666666667,NA,2017
"194","for 12 months to 30-09-2018","KBB",754800,NA,2017
"195","for 12 months to 30-09-2018","KIN",31000,NA,2017
"196","for 12 months to 30-09-2018","KWH",6700,NA,2017
"197","for 12 months to 30-09-2018","LDO",261000,NA,2017
"198","for 12 months to 30-09-2018","LEA",292200,NA,2017
"199","for 12 months to 30-09-2018","LFE",14818.1818181818,NA,2017
"200","for 12 months to 30-09-2018","LIN",2899000,NA,2017
"201","for 12 months to 30-09-2018","MAK",2e+05,32965,2017
"202","for 12 months to 30-09-2018","MOK",128181.2,123956.6,2017
"203","for 12 months to 30-09-2018","MOO",527000,67202,2017
"204","for 12 months to 30-09-2018","OEO",2972000,NA,2017
"205","for 12 months to 30-09-2018","ORH",1116625,NA,2017
"206","for 12 months to 30-09-2018","OYS",56590.9090909091,NA,2017
"207","for 12 months to 30-09-2018","OYU",14950000,9905321,2017
"208","for 12 months to 30-09-2018","PAD",76500,NA,2017
"209","for 12 months to 30-09-2018","PAR",21000,NA,2017
"210","for 12 months to 30-09-2018","PAU",91906.4,NA,2017
"211","for 12 months to 30-09-2018","PIL",355000,NA,2017
"212","for 12 months to 30-09-2018","POR",20750,NA,2017
"213","for 12 months to 30-09-2018","POS",110000,56943,2017
"214","for 12 months to 30-09-2018","PPI",20400,NA,2017
"215","for 12 months to 30-09-2018","PRK",3272.72727272727,NA,2017
"216","for 12 months to 30-09-2018","PTO",49500,4485,2017
"217","for 12 months to 30-09-2018","PZL",3937.5,NA,2017
"218","for 12 months to 30-09-2018","QSC",380000,25735,2017
"219","for 12 months to 30-09-2018","RBM",980000,289677,2017
"220","for 12 months to 30-09-2018","RBT",1262500,NA,2017
"221","for 12 months to 30-09-2018","RBY",83900,NA,2017
"222","for 12 months to 30-09-2018","RCO",1655673.4,NA,2017
"223","for 12 months to 30-09-2018","RIB",168300,NA,2017
"224","for 12 months to 30-09-2018","RSK",397200,331415.8,2017
"225","for 12 months to 30-09-2018","RSN",48666.6666666667,NA,2017
"226","for 12 months to 30-09-2018","SCH",429512.5,NA,2017
"227","for 12 months to 30-09-2018","SCI",113090.909090909,NA,2017
"228","for 12 months to 30-09-2018","SFE",53556.3636363636,NA,2017
"229","for 12 months to 30-09-2018","SKI",212078.8,NA,2017
"230","for 12 months to 30-09-2018","SNA",1067883.33333333,1081790,2017
"231","for 12 months to 30-09-2018","SPD",1808571.42857143,NA,2017
